ticker,status,rows,start,end,source,n_splits,n_jump_flags
ONE,ok,2334.0,2015-01-02,2024-12-31,tmx,0.0,0.0
EFF,ok,1660.0,2015-01-02,2024-12-31,tmx,0.0,7.0
AUMB,ok,1611.0,2018-07-25,2024-12-31,tmx,0.0,0.0
FNR,ok,2117.0,2015-01-02,2024-12-31,tmx,0.0,1.0
ACL,empty,,,,,,
AIS,ok,2188.0,2015-01-05,2024-12-31,tmx,0.0,6.0
AUAU,ok,1730.0,2018-01-30,2024-12-31,tmx,0.0,0.0
AME,ok,2422.0,2015-01-02,2024-12-31,tmx,0.0,0.0
ABA,ok,496.0,2023-01-11,2024-12-31,tmx,0.0,0.0
ABI,ok,2412.0,2015-01-02,2024-12-31,tmx,0.0,0.0
ABM,ok,2380.0,2015-01-05,2024-12-31,tmx,0.0,0.0
ABC,ok,1129.0,2015-01-13,2024-12-31,tmx,0.0,6.0
ACDC,ok,128.0,2024-06-27,2024-12-31,tmx,0.0,0.0
AXE,ok,2120.0,2015-01-02,2024-12-31,tmx,0.0,1.0
ADZ,ok,2395.0,2015-01-02,2024-12-31,tmx,0.0,0.0
ADE,ok,1962.0,2015-01-09,2024-12-31,tmx,0.0,141.0
AWI,ok,1587.0,2015-01-02,2024-12-31,tmx,0.0,0.0
ADY,ok,943.0,2021-02-24,2024-12-31,tmx,0.0,0.0
AEF,empty,,,,,,
ALTN,empty,,,,,,
AFE,ok,2421.0,2015-01-05,2024-12-31,tmx,0.0,0.0
AAG,ok,1786.0,2015-01-02,2024-12-31,tmx,0.0,0.0
AGET,ok,508.0,2022-12-21,2024-12-31,tmx,0.0,0.0
AUTO,ok,865.0,2021-07-14,2024-12-31,tmx,0.0,1.0
AIVC,ok,1994.0,2015-01-13,2024-12-31,tmx,0.0,3.0
IQ,ok,2139.0,2015-01-02,2024-12-31,tmx,0.0,0.0
AISX,ok,1265.0,2018-03-26,2024-12-31,tmx,0.0,0.0
AML,ok,1601.0,2015-01-05,2024-12-31,tmx,0.0,13.0
AEMC,ok,2456.0,2015-01-02,2024-12-31,tmx,0.0,0.0
WAM,ok,785.0,2021-11-15,2024-12-31,tmx,0.0,0.0
ALCH,empty,,,,,,
ALDE,ok,1397.0,2018-11-02,2024-12-31,tmx,0.0,0.0
ALGR,ok,300.0,2023-10-23,2024-12-31,tmx,0.0,0.0
ALM,ok,1631.0,2015-01-02,2024-12-31,tmx,0.0,6.0
AMM,ok,2502.0,2015-01-02,2024-12-31,tmx,0.0,0.0
DEX,ok,1639.0,2018-05-28,2024-12-31,tmx,0.0,0.0
AORO,ok,1792.0,2015-01-02,2024-12-31,tmx,0.0,4.0
