symbol,name,gql_symbol,gql_name,exch,gics_sector,industry,qm,shares_outstanding,market_cap,price,gql_ok,suffix,tsxv_sector,drop_reason,in_universe
ONE,01 Quantum Inc.,ONE,01 Quantum Inc.,TSXV,Technology,Software & IT Services,Application Software,109536386.0,53672830.0,0.49,True,,Technology,,True
EFF,1844 Resources Inc.,EFF,1844 Resources Inc.,TSXV,Materials,Mining,Industrial Metals,142359442.0,4270784.0,0.03,True,,Mining,,True
AUMB,1911 Gold Corporation,AUMB,1911 Gold Corporation,TSXV,Materials,Mining,Gold,310788888.0,261062666.0,0.84,True,,Mining,,True
FNR,49 North Resources Inc.,FNR,49 North Resources Inc.,TSXV,Finance,Asset Management Services,Asset Management Services,166238310.0,4155958.0,0.025,True,,Diversified Industries,,True
FIVD.P,5D Acquisition Corp.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
ALAB.P,A-Labs Capital II Corp.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
ACL,A.C.L. Construction Ltd.,ACL,A.C.L. Construction Ltd.,TSXV,Industrials,Construction,Engineering & Construction Services,73522074.0,11395922.0,0.155,True,,Diversified Industries,,True
AIS,A.I.S. Resources Limited,AIS,A.I.S. Resources Limited,TSXV,Materials,Mining,Gold,49242958.0,5909155.0,0.12,True,,Mining,,True
AUAU,A2 Gold Corp.,AUAU,A2 Gold Corp.,TSXV,Materials,Mining,Gold,123901961.0,90448432.0,0.73,True,,Mining,,True
AZC.P,A2ZCryptocap Inc.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
AAAJ.P,AAJ Capital 3 Corp.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
AME,Abacus Mining & Exploration Corporation,AME,Abacus Mining & Exploration Corporation,TSXV,Materials,Mining,Industrial Metals,187456263.0,3749126.0,0.02,True,,Mining,,True
ABA,Abasca Resources Inc.,ABA,Abasca Resources Inc.,TSXV,Materials,Mining,Industrial Metals,142439512.0,12107359.0,0.085,True,,Mining,,True
ABI,Abcourt Mines Inc.,ABI,Abcourt Mines Inc.,TSXV,Materials,Mining,Gold,1218942840.0,103610142.0,0.085,True,,Mining,,True
ABM,Aben Gold Corp.,ABM,Aben Gold Corp.,TSXV,Materials,Mining,Gold,35646022.0,7307435.0,0.205,True,,Mining,,True
ABC,Absolutely Critical Resources Corp.,ABC,Absolutely Critical Resources Corp.,TSXV,Materials,Mining,Industrial Metals,37810111.0,945253.0,0.025,True,,Mining,,True
ACDC,AC/DC Battery Metals Inc.,ACDC,AC/DC Battery Metals Inc.,TSXV,Materials,Mining,Industrial Metals,51885044.0,1556552.0,0.03,True,,Mining,,True
AXE,Acceleware Ltd.,AXE,Acceleware Ltd.,TSXV,Technology,Software & IT Services,Application Software,143128849.0,13597241.0,0.095,True,,Technology,,True
ADAD.P,Adagio 2 Capital Inc.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
ADZ,Adamera Minerals Corp.,ADZ,Adamera Minerals Corp.,TSXV,Materials,Mining,Precious Metals,58447572.0,12273991.0,0.21,True,,Mining,,True
ADE,Adex Mining Inc,ADE,Adex Mining Inc.,TSXV,Materials,Mining,Industrial Metals,677211441.0,64335087.0,0.095,True,,Mining,,True
AWI,Advent-AWI Holdings Inc.,AWI,Advent-AWI Holdings Inc.,TSXV,Consumer Discretionary,Retail - Discretionary,Specialty Retailers,11935513.0,8593570.0,0.72,True,,Diversified Industries,,True
ADY,Adyton Resources Corporation,ADY,Adyton Resources Corporation,TSXV,Materials,Mining,Precious Metals,315041885.0,99238194.0,0.315,True,,Mining,,True
AEF,AE Fuels Corporation,AEF,AE Fuels Corporation,TSXV,Materials,Mining,Industrial Metals,42476376.0,6159075.0,0.145,True,,Mining,,True
ALTN,Aeonian Resources Corp.,ALTN,Aeonian Resources Corp.,TSXV,Materials,Mining,Industrial Metals,70639100.0,5651128.0,0.08,True,,Mining,,True
AFC.P,AF3 Capital Corp.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
AFE,Africa Energy Corp.,AFE,Africa Energy Corp.,TSXV,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,526162450.0,107863303.0,0.205,True,,Oil & Gas,,True
AAG,Aftermath Silver Ltd.,AAG,Aftermath Silver Ltd.,TSXV,Materials,Mining,Industrial Metals,342131113.0,260019646.0,0.76,True,,Mining,,True
AGET,AGEDB Technology Ltd.,AGET,AGEDB Technology Ltd.,TSXV,Technology,Software & IT Services,Systems Software,12736500.0,1655745.0,0.13,True,,Technology,,True
AUTO,Agereh Technologies Inc.,AUTO,Agereh Technologies Inc.,TSXV,Technology,Software & IT Services,Application Software,115341541.0,4613662.0,0.04,True,,Technology,,True
AIVC,AI Artificial Intelligence Ventures Inc.,AIVC,AI Artificial Intelligence Ventures Inc.,TSXV,Finance,Asset Management Services,Asset Management Services,32025453.0,6244964.0,0.195,True,,Diversified Industries,,True
AIME.P,AIM5 Ventures Inc.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
AIP.U,AIP Realty Trust,,,,,,,,,,False,U,Diversified Industries,suffix:U,False
IQ,AirIQ Inc,IQ,AirIQ Inc.,TSXV,Technology,Software & IT Services,Application Software,29534074.0,13881015.0,0.47,True,,Technology,,True
AISX,Aisix Solutions Inc.,AISX,Aisix Solutions Inc.,TSXV,Technology,Software & IT Services,Application Software,185750858.0,3715018.0,0.02,True,,Technology,,True
AML,Akwaaba Mining Ltd.,AML,Akwaaba Mining Ltd.,TSXV,Materials,Mining,Gold,14623092.0,1974118.0,0.135,True,,Mining,,True
AEMC,Alaska Energy Metals Corporation,AEMC,Alaska Energy Metals Corporation,TSXV,Materials,Mining,Precious Metals,227986360.0,12539250.0,0.055,True,,Mining,,True
WAM,Alaska Silver Corp.,WAM,Alaska Silver Corp.,TSXV,Materials,Mining,Precious Metals,89069150.0,61457714.0,0.69,True,,Mining,,True
ALBT.P,Albatros Acquisition Corporation Inc.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
ALCH,Alchemy Labs Inc.,ALCH,Alchemy Labs Inc.,TSXV,Materials,Chemicals,Special Chemicals,54549120.0,50730682.0,0.93,True,,Diversified Industries,,True
ALDD.P,ALDD Ventures Corp.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
ALDE,Aldebaran Resources Inc.,ALDE,Aldebaran Resources Inc.,TSXV,Materials,Mining,Industrial Metals,185442834.0,584144928.0,3.15,True,,Mining,,True
ALGR,Algo Grande Copper Corp.,ALGR,Algo Grande Copper Corp.,TSXV,Materials,Mining,Gold,42339746.0,24557053.0,0.58,True,,Mining,,True
ALM,Alliance Mining Corp.,ALM,Alliance Mining Corp.,TSXV,Materials,Mining,Gold,9174316.0,2844038.0,0.31,True,,Mining,,True
AMM,Almaden Minerals Ltd.,AMM,Almaden Minerals Ltd.,TSXV,Materials,Mining,Gold,137363181.0,34340796.0,0.25,True,,Mining,,True
DEX,Almadex Minerals Ltd.,DEX,Almadex Minerals Ltd.,TSXV,Materials,Mining,Gold,61310898.0,26057132.0,0.425,True,,Mining,,True
AORO,Aloro Mining Corp.,AORO,Aloro Mining Corp.,TSXV,Materials,Mining,Gold,57729263.0,577293.0,0.01,True,,Mining,,True
ALEX,Alpha Exploration Ltd.,ALEX,Alpha Exploration Ltd.,TSXV,Materials,Mining,Precious Metals,107760731.0,50108740.0,0.465,True,,Mining,,True
AFM,Alphamin Resources Corp.,AFM,Alphamin Resources Corp.,TSXV,Materials,Mining,Industrial Metals,1287774479.0,1918783974.0,1.49,True,,Mining,,True
GPUS,Alset AI Ventures Inc.,GPUS,Alset AI Ventures Inc.,TSXV,Technology,Software & IT Services,Application Software,21280384.0,6916125.0,0.325,True,,Technology,,True
AVX,Altair Resources Inc.,AVX,Altair Resources Inc.,TSXV,Materials,Mining,Industrial Metals,57266624.0,286334.0,0.005,True,,Mining,,True
ALTA,Altamira Gold Corp.,ALTA,Altamira Gold Corp.,TSXV,Materials,Mining,Gold,296658052.0,78614384.0,0.265,True,,Mining,,True
ALTR.P,Alterego Ventures 24 Corp.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
APN,Altiplano Metals Inc.,APN,Altiplano Metals Inc.,TSXV,Materials,Mining,Industrial Metals,177561844.0,2663428.0,0.015,True,,Mining,,True
ALTU,Altura Energy Corp.,ALTU,Altura Energy Corp.,TSXV,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,74396613.0,16739238.0,0.225,True,,Oil & Gas,,True
ALTU.WT,Altura Energy Corp. wt 08Nov2026,ALTU,Altura Energy Corp.,TSXV,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,74396613.0,16739238.0,0.225,True,WT,Oil & Gas,suffix:WT,False
ALT,Alturas Minerals Corp,ALT,Alturas Minerals Corp.,TSXV,Materials,Mining,Industrial Metals,145632143.0,2912643.0,0.02,True,,Mining,,True
AUUA,Aluula Composites Inc.,AUUA,Aluula Composites Inc.,TSXV,Consumer Discretionary,Apparel & Luxury,Fabricated Textile Products,30891911.0,108121689.0,3.5,True,,Diversified Industries,,True
ALV,Alvopetro Energy Ltd.,ALV,Alvopetro Energy Ltd.,TSXV,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,37302617.0,393542610.0,10.55,True,,Oil & Gas,,True
ALZI,Alzai Health Corp.,ALZI,Alzai Health Corp.,TSXV,Healthcare,Healthcare Providers & Services,Healthcare Information Services,65647682.0,24289643.0,0.37,True,,Life Sciences,,True
AHR,Amarc Resources Ltd.,AHR,Amarc Resources Ltd.,TSXV,Materials,Mining,Industrial Metals,225567364.0,230078712.0,1.02,True,,Mining,,True
AMYA.P,Amaya Big Sky Capital Corp.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
MEGO.P,Amego Capital Corp.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
AE,American Eagle Gold Corp.,AE,American Eagle Gold Corp.,TSXV,Materials,Mining,Gold,204922630.0,245907156.0,1.2,True,,Mining,,True
