ticker,name,tsxv_sector,gics_sector,industry,qm,shares_outstanding,market_cap,price
ONE,01 Quantum Inc.,Technology,Technology,Software & IT Services,Application Software,109536386.0,53672830.0,0.49
EFF,1844 Resources Inc.,Mining,Materials,Mining,Industrial Metals,142359442.0,4270784.0,0.03
AUMB,1911 Gold Corporation,Mining,Materials,Mining,Gold,310788888.0,261062666.0,0.84
FNR,49 North Resources Inc.,Diversified Industries,Finance,Asset Management Services,Asset Management Services,166238310.0,4155958.0,0.025
ACL,A.C.L. Construction Ltd.,Diversified Industries,Industrials,Construction,Engineering & Construction Services,73522074.0,11395922.0,0.155
AIS,A.I.S. Resources Limited,Mining,Materials,Mining,Gold,49242958.0,5909155.0,0.12
AUAU,A2 Gold Corp.,Mining,Materials,Mining,Gold,123901961.0,90448432.0,0.73
AME,Abacus Mining & Exploration Corporation,Mining,Materials,Mining,Industrial Metals,187456263.0,3749126.0,0.02
ABA,Abasca Resources Inc.,Mining,Materials,Mining,Industrial Metals,142439512.0,12107359.0,0.085
ABI,Abcourt Mines Inc.,Mining,Materials,Mining,Gold,1218942840.0,103610142.0,0.085
ABM,Aben Gold Corp.,Mining,Materials,Mining,Gold,35646022.0,7307435.0,0.205
ABC,Absolutely Critical Resources Corp.,Mining,Materials,Mining,Industrial Metals,37810111.0,945253.0,0.025
ACDC,AC/DC Battery Metals Inc.,Mining,Materials,Mining,Industrial Metals,51885044.0,1556552.0,0.03
AXE,Acceleware Ltd.,Technology,Technology,Software & IT Services,Application Software,143128849.0,13597241.0,0.095
ADZ,Adamera Minerals Corp.,Mining,Materials,Mining,Precious Metals,58447572.0,12273991.0,0.21
ADE,Adex Mining Inc,Mining,Materials,Mining,Industrial Metals,677211441.0,64335087.0,0.095
AWI,Advent-AWI Holdings Inc.,Diversified Industries,Consumer Discretionary,Retail - Discretionary,Specialty Retailers,11935513.0,8593570.0,0.72
ADY,Adyton Resources Corporation,Mining,Materials,Mining,Precious Metals,315041885.0,99238194.0,0.315
AEF,AE Fuels Corporation,Mining,Materials,Mining,Industrial Metals,42476376.0,6159075.0,0.145
ALTN,Aeonian Resources Corp.,Mining,Materials,Mining,Industrial Metals,70639100.0,5651128.0,0.08
AFE,Africa Energy Corp.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,526162450.0,107863303.0,0.205
AAG,Aftermath Silver Ltd.,Mining,Materials,Mining,Industrial Metals,342131113.0,260019646.0,0.76
AGET,AGEDB Technology Ltd.,Technology,Technology,Software & IT Services,Systems Software,12736500.0,1655745.0,0.13
AUTO,Agereh Technologies Inc.,Technology,Technology,Software & IT Services,Application Software,115341541.0,4613662.0,0.04
AIVC,AI Artificial Intelligence Ventures Inc.,Diversified Industries,Finance,Asset Management Services,Asset Management Services,32025453.0,6244964.0,0.195
IQ,AirIQ Inc,Technology,Technology,Software & IT Services,Application Software,29534074.0,13881015.0,0.47
AISX,Aisix Solutions Inc.,Technology,Technology,Software & IT Services,Application Software,185750858.0,3715018.0,0.02
AML,Akwaaba Mining Ltd.,Mining,Materials,Mining,Gold,14623092.0,1974118.0,0.135
AEMC,Alaska Energy Metals Corporation,Mining,Materials,Mining,Precious Metals,227986360.0,12539250.0,0.055
WAM,Alaska Silver Corp.,Mining,Materials,Mining,Precious Metals,89069150.0,61457714.0,0.69
ALCH,Alchemy Labs Inc.,Diversified Industries,Materials,Chemicals,Special Chemicals,54549120.0,50730682.0,0.93
ALDE,Aldebaran Resources Inc.,Mining,Materials,Mining,Industrial Metals,185442834.0,584144928.0,3.15
ALGR,Algo Grande Copper Corp.,Mining,Materials,Mining,Gold,42339746.0,24557053.0,0.58
ALM,Alliance Mining Corp.,Mining,Materials,Mining,Gold,9174316.0,2844038.0,0.31
AMM,Almaden Minerals Ltd.,Mining,Materials,Mining,Gold,137363181.0,34340796.0,0.25
DEX,Almadex Minerals Ltd.,Mining,Materials,Mining,Gold,61310898.0,26057132.0,0.425
AORO,Aloro Mining Corp.,Mining,Materials,Mining,Gold,57729263.0,577293.0,0.01
ALEX,Alpha Exploration Ltd.,Mining,Materials,Mining,Precious Metals,107760731.0,50108740.0,0.465
AFM,Alphamin Resources Corp.,Mining,Materials,Mining,Industrial Metals,1287774479.0,1918783974.0,1.49
GPUS,Alset AI Ventures Inc.,Technology,Technology,Software & IT Services,Application Software,21280384.0,6916125.0,0.325
AVX,Altair Resources Inc.,Mining,Materials,Mining,Industrial Metals,57266624.0,286334.0,0.005
ALTA,Altamira Gold Corp.,Mining,Materials,Mining,Gold,296658052.0,78614384.0,0.265
APN,Altiplano Metals Inc.,Mining,Materials,Mining,Industrial Metals,177561844.0,2663428.0,0.015
ALTU,Altura Energy Corp.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,74396613.0,16739238.0,0.225
ALT,Alturas Minerals Corp,Mining,Materials,Mining,Industrial Metals,145632143.0,2912643.0,0.02
AUUA,Aluula Composites Inc.,Diversified Industries,Consumer Discretionary,Apparel & Luxury,Fabricated Textile Products,30891911.0,108121689.0,3.5
ALV,Alvopetro Energy Ltd.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,37302617.0,393542610.0,10.55
ALZI,Alzai Health Corp.,Life Sciences,Healthcare,Healthcare Providers & Services,Healthcare Information Services,65647682.0,24289643.0,0.37
AHR,Amarc Resources Ltd.,Mining,Materials,Mining,Industrial Metals,225567364.0,230078712.0,1.02
AE,American Eagle Gold Corp.,Mining,Materials,Mining,Gold,204922630.0,245907156.0,1.2
LI,American Lithium Corp.,Mining,Materials,Mining,Industrial Metals,255664646.0,120162384.0,0.47
TUNG,American Tungsten Corp,Mining,Materials,Mining,Industrial Metals,63460612.0,122478982.0,1.93
AMCO,Americore Resources Corp.,Mining,Materials,Mining,Industrial Metals,25784151.0,7864167.0,0.305
AMT,AmeriTrust Financial Technologies Inc.,Technology,Technology,Software & IT Services,Application Software,1067664585.0,229547886.0,0.215
AMX,Amex Gold Mining Inc.,Mining,Materials,Mining,Gold,160621324.0,735645664.0,4.58
ANDC,Andina Copper Corporation,Mining,Materials,Mining,Industrial Metals,275273780.0,352350439.0,1.28
AEC,Anfield Energy Inc.,CleanTech,Energy,Other Energy Sources,Uranium,19949976.0,117704859.0,5.9
AWM,Angel Wing Metals Inc.,Mining,Materials,Mining,Precious Metals,107932595.0,3237978.0,0.03
ANK,Angkor Resources Corp.,Mining,Materials,Mining,Gold,206129782.0,80390615.0,0.39
ANOR,AnorTech Inc.,Mining,Materials,Mining,Industrial Metals,201601041.0,16128084.0,0.08
ANTL,Antler Gold Inc.,Mining,Materials,Mining,Gold,90830935.0,2724929.0,0.03
APX,Apex Resources Inc.,Mining,Materials,Mining,Industrial Metals,83263874.0,8742707.0,0.105
APMI,Apogee Minerals Ltd.,Mining,Materials,Mining,Gold,76805001.0,7680501.0,0.1
APGO,Apollo Silver Corp.,Mining,Materials,Mining,Silver,63593793.0,204136076.0,3.21
APL,Appulse Corporation,Diversified Industries,Industrials,Industrial Goods,Specialized Industrial Machinery,14772304.0,3176046.0,0.215
ABR,Arbor Metals Corp.,Mining,Materials,Mining,Industrial Metals,101248236.0,9618583.0,0.095
ARO,Arc Mineral Royalties Ltd.,Mining,Materials,Mining,Industrial Metals,65647427.0,59082685.0,0.9
ARCH,Arch Biopartners Inc.,Life Sciences,Healthcare,Biotechnology & Life Sciences,Biotechnology,67933289.0,70650621.0,1.04
ACS,Archon Minerals Ltd.,Mining,Materials,Mining,Precious Metals,54416758.0,4625425.0,0.085
ADG,Arcus Development Group Inc.,Mining,Materials,Mining,Gold,21221140.0,10610570.0,0.5
AWX,Arcwest Exploration Inc.,Mining,Materials,Mining,Industrial Metals,83506707.0,7515604.0,0.09
AGAG,Argenta Silver Corp.,Mining,Materials,Mining,Silver,290337502.0,165492377.0,0.57
LIT,Argentina Lithium & Energy Corp.,Mining,Materials,Mining,Industrial Metals,137567270.0,12381055.0,0.09
VLLC,Argentina Metals Corp.,Mining,Materials,Mining,Copper,73298343.0,27120387.0,0.37
ASL,Argentum Silver Corp,Mining,Materials,Mining,Industrial Metals,51598543.0,4385877.0,0.085
ARGH,Argo Corporation,Diversified Industries,Industrials,Transportation,Road Transportation - Passengers,276181895.0,77330931.0,0.28
DAN,Arianne Phosphate Inc.,Mining,Materials,Mining,Industrial Metals,231294326.0,80953015.0,0.35
AZEM,Arizona Eagle Mining Corp.,Mining,Materials,Mining,Industrial Metals,56858105.0,41506417.0,0.73
AZS,Arizona Gold & Silver Inc.,Mining,Materials,Mining,Precious Metals,152485851.0,125038398.0,0.82
ARK,Arras Minerals Corp.,Mining,Materials,Mining,Precious Metals,143514174.0,225317254.0,1.57
AXL,Arrow Exploration Corp.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,285864348.0,171518609.0,0.6
ARTG,Artemis Gold Inc.,Mining,Materials,Mining,Gold,233215778.0,9774073256.0,41.91
RBZ,Arya Resources Ltd.,Mining,Materials,Mining,Industrial Metals,50063779.0,16771366.0,0.335
ASE,Asante Gold Corporation,Mining,Materials,Mining,Gold,904549178.0,927162908.0,1.025
ABZ,ASIABASEMETALS INC.,Mining,Materials,Mining,Industrial Metals,50202871.0,4267245.0,0.085
SAT,Asian Television Network International Ltd.,Diversified Industries,Media,Traditional Media,Broadcasting,24402914.0,976117.0,0.04
ATOI,Asiatel Outsourcing Inc.,Diversified Industries,Industrials,Corporate Services,Specialized Business Services,49618500.0,6202313.0,0.125
BAY,Aston Bay Holdings Ltd.,Mining,Materials,Mining,Industrial Metals,252949635.0,11382734.0,0.045
ASTR,Astra Exploration Inc.,Mining,Materials,Mining,Precious Metals,137435050.0,57722721.0,0.42
AST,Astron Connect Inc.,Diversified Industries,Consumer Staples,Consumer Products - Foods,"Canned, Frozen & Preserved Foods",30271240.0,908138.0,0.03
SASK,Atha Energy Corp.,CleanTech,Energy,Other Energy Sources,Uranium,352142434.0,426092346.0,1.21
ATY,Atico Mining Corporation,Mining,Materials,Mining,Industrial Metals,181380750.0,39903765.0,0.22
ATLE,Atlas Energy Corp.,Oil & Gas,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,629439353.0,69238329.0,0.11
AEP,Atlas Engineered Products Ltd.,Diversified Industries,Industrials,Construction,Building Products & Equipment,71642701.0,44418475.0,0.62
SALT,Atlas Salt Inc.,Mining,Materials,Mining,Industrial Metals,124801426.0,212162425.0,1.7
ATOM,Atomic Minerals Corporation,Mining,Materials,Mining,Industrial Metals,87393302.0,2621800.0,0.03
AAN,Aton Resources Inc.,Mining,Materials,Mining,Gold,98754350.0,49377175.0,0.5
AUGC,Au Gold Corp.,Mining,Materials,Mining,Gold,58539157.0,11122440.0,0.19
AUM,AuMega Metals Ltd.,Mining,Materials,Mining,Gold,957882291.0,38315292.0,0.04
AUQ,AuQ Gold Mining Inc.,Mining,Materials,Mining,Gold,22705012.0,7946755.0,0.35
ARU,Aurania Resources Ltd.,Mining,Materials,Mining,Precious Metals,140227603.0,27344383.0,0.195
AURA,Auranova Resources Inc.,Mining,Materials,Mining,Gold,77089282.0,18501428.0,0.24
RES,Auric Resources Corp.,Mining,Materials,Mining,Industrial Metals,45032867.0,1350987.0,0.03
