measure,horizon_m,period,split,Q5_minus_Q1,nw_t,n_dates
illiq,6,2016-2018,train,0.2651728651005333,3.7900947532778524,36
illiq,6,2016-2018,holdout,0.3114308434298611,5.634415180807205,36
illiq,6,2019-2021,train,0.23044346456352202,3.62633411044435,36
illiq,6,2019-2021,holdout,0.27304288904016344,7.032921481514729,36
illiq,6,2022-2024,train,0.12445093482116469,13.752390977649624,30
illiq,6,2022-2024,holdout,0.10713295233854525,6.090215592494858,30
illiq,12,2016-2018,train,0.41110518277682073,4.162711708761166,36
illiq,12,2016-2018,holdout,0.4994158070884448,9.410921382404123,36
illiq,12,2019-2021,train,0.48789406864416013,3.2660779766061436,36
illiq,12,2019-2021,holdout,0.5182837157599327,4.757023079728573,36
illiq,12,2022-2024,train,0.21688524206062704,8.755607954445715,24
illiq,12,2022-2024,holdout,0.2111988224945892,5.419219354187664,24
illiq,24,2016-2018,train,0.6364367258809419,5.251703943306541,36
illiq,24,2016-2018,holdout,0.7823834043095994,8.317008851549428,36
illiq,24,2019-2021,train,0.6733494037151881,3.457933751796013,36
illiq,24,2019-2021,holdout,0.6651140527298461,5.3600594724853625,36
illiq,24,2022-2024,train,,,12
illiq,24,2022-2024,holdout,,,12
zero_ret_pct,6,2016-2018,train,0.22677826005154245,3.0507510231288073,36
zero_ret_pct,6,2016-2018,holdout,0.21326282765252602,4.4995072571110635,36
zero_ret_pct,6,2019-2021,train,0.18299048095481024,3.1972187739138054,36
zero_ret_pct,6,2019-2021,holdout,0.21878603338054015,4.258937265240662,36
zero_ret_pct,6,2022-2024,train,0.09222391020603331,14.633046765032644,30
zero_ret_pct,6,2022-2024,holdout,0.09107140949995458,5.304911722029035,30
zero_ret_pct,12,2016-2018,train,0.3266782607977441,2.914355403997207,36
zero_ret_pct,12,2016-2018,holdout,0.3385836721676664,6.658079121553405,36
zero_ret_pct,12,2019-2021,train,0.3386412114435231,3.0958650927897966,36
zero_ret_pct,12,2019-2021,holdout,0.45698175611467906,3.527890542105974,36
zero_ret_pct,12,2022-2024,train,0.16819738839273513,7.486917541191941,24
zero_ret_pct,12,2022-2024,holdout,0.15743675450698869,4.808989526473081,24
zero_ret_pct,24,2016-2018,train,0.4008614392289731,4.071128323716718,36
zero_ret_pct,24,2016-2018,holdout,0.43906605019549844,11.761975278290928,36
zero_ret_pct,24,2019-2021,train,0.3807041728017314,3.001111690178173,36
zero_ret_pct,24,2019-2021,holdout,0.4243233927289849,4.227608022497475,36
zero_ret_pct,24,2022-2024,train,,,12
zero_ret_pct,24,2022-2024,holdout,,,12
cs_spread,6,2016-2018,train,-0.09840831082946022,-3.236588795029898,36
cs_spread,6,2016-2018,holdout,-0.18908034164213744,-6.3884411948049245,36
cs_spread,6,2019-2021,train,-0.029632684392886605,-0.5875994033227103,36
cs_spread,6,2019-2021,holdout,-0.04075485107610845,-0.6599279728210788,36
cs_spread,6,2022-2024,train,-0.10999401693141518,-9.017897973221253,30
cs_spread,6,2022-2024,holdout,-0.07484865305155682,-5.071991527733742,30
cs_spread,12,2016-2018,train,-0.21577732985664275,-12.740569121653605,36
cs_spread,12,2016-2018,holdout,-0.23624290927533817,-4.360634100854887,36
cs_spread,12,2019-2021,train,-0.02152655738034221,-0.23541290885023347,36
cs_spread,12,2019-2021,holdout,0.027766433134208936,0.2588677181331943,36
cs_spread,12,2022-2024,train,-0.1837656492376973,-23.403237349135523,24
cs_spread,12,2022-2024,holdout,-0.15796736778722548,-5.823787723022324,24
cs_spread,24,2016-2018,train,-0.2436238802272405,-4.776333599679444,36
cs_spread,24,2016-2018,holdout,-0.3318586563533125,-8.628282286999964,36
cs_spread,24,2019-2021,train,-0.05588015215984743,-0.6798726775581387,36
cs_spread,24,2019-2021,holdout,0.04552669279228361,0.25853584007647423,36
cs_spread,24,2022-2024,train,,,12
cs_spread,24,2022-2024,holdout,,,12
