measure,horizon_m,variant,split,n_dates,Q5_minus_Q1,nw_t
illiq,6,"primary (mean, EW, pt-to-pt)",train,102,0.3444759603557916,6.8615604480986345
illiq,6,"primary (mean, EW, pt-to-pt)",holdout,102,0.3171581392862237,9.192577842057275
illiq,6,median within quintile,train,102,0.2115266265935385,5.805485382584331
illiq,6,median within quintile,holdout,102,0.23779453861840433,7.45493421995123
illiq,6,value-weighted,train,102,0.29830020913491606,5.954097252622435
illiq,6,value-weighted,holdout,102,0.2747616247252394,4.814266816471594
illiq,6,3-day avg prices,train,102,0.3351861562950237,6.726877985761513
illiq,6,3-day avg prices,holdout,102,0.3051149173186343,9.387228846758722
illiq,6,price >= $0.10,train,102,0.21054311706743736,6.572262703350064
illiq,6,price >= $0.10,holdout,102,0.18353043950928083,6.888381584373609
illiq,6,"tight winsor [-0.9,2.0]",train,102,0.2814200811732744,9.27035555414985
illiq,6,"tight winsor [-0.9,2.0]",holdout,102,0.2714197959787608,10.999201231073968
illiq,6,median + price>=$0.10,train,102,0.1222483462327161,3.952999128924919
illiq,6,median + price>=$0.10,holdout,102,0.14998371197729302,6.497856375684555
illiq,12,"primary (mean, EW, pt-to-pt)",train,96,0.6533075701971196,4.937281319064811
illiq,12,"primary (mean, EW, pt-to-pt)",holdout,96,0.6507680148738354,5.942745766732994
illiq,12,median within quintile,train,96,0.3913460297980247,4.876603624102579
illiq,12,median within quintile,holdout,96,0.43443702669178885,6.557016996608792
illiq,12,value-weighted,train,96,0.6066692498671693,4.542733287270568
illiq,12,value-weighted,holdout,96,0.5374039216751352,4.517243563634393
illiq,12,3-day avg prices,train,96,0.6352168582310378,4.99624110404246
illiq,12,3-day avg prices,holdout,96,0.6348916090262507,6.130950270396133
illiq,12,price >= $0.10,train,96,0.4077497934704015,7.139350726918111
illiq,12,price >= $0.10,holdout,96,0.3210599708796653,7.540543748579371
illiq,12,"tight winsor [-0.9,2.0]",train,96,0.4440353067857798,7.741195019177016
illiq,12,"tight winsor [-0.9,2.0]",holdout,96,0.45354770607850825,9.560108641854395
illiq,12,median + price>=$0.10,train,96,0.2288946436771023,7.405338349576652
illiq,12,median + price>=$0.10,holdout,96,0.2629717139793263,6.395059995612403
illiq,24,"primary (mean, EW, pt-to-pt)",train,84,0.9570852166110773,5.434053547850648
illiq,24,"primary (mean, EW, pt-to-pt)",holdout,84,1.0550327321009179,5.831987386575562
illiq,24,median within quintile,train,84,0.6020615170617036,4.888413399238272
illiq,24,median within quintile,holdout,84,0.6730425008767755,6.284752746484765
illiq,24,value-weighted,train,84,0.8573757516614157,6.739810176008169
illiq,24,value-weighted,holdout,84,0.8887611225277858,5.333442617146795
illiq,24,3-day avg prices,train,84,0.943310249298964,5.399647984342097
illiq,24,3-day avg prices,holdout,84,1.039080795310709,5.928484264423198
illiq,24,price >= $0.10,train,84,0.5894270992042705,8.027098327840612
illiq,24,price >= $0.10,holdout,84,0.62631631030704,6.689893687557753
illiq,24,"tight winsor [-0.9,2.0]",train,84,0.6018225917562843,7.566672675011408
illiq,24,"tight winsor [-0.9,2.0]",holdout,84,0.6641839859284674,8.362218618296918
illiq,24,median + price>=$0.10,train,84,0.359569047586382,7.017443518047227
illiq,24,median + price>=$0.10,holdout,84,0.4096235224858058,7.870238844867159
zero_ret_pct,6,"primary (mean, EW, pt-to-pt)",train,102,0.2652443607254574,4.955365712268121
zero_ret_pct,6,"primary (mean, EW, pt-to-pt)",holdout,102,0.2609763809974044,6.249890303077468
zero_ret_pct,6,median within quintile,train,102,0.1717489410040166,4.878317032693825
zero_ret_pct,6,median within quintile,holdout,102,0.1792735419822453,6.267807222300465
zero_ret_pct,6,value-weighted,train,102,0.15748097701739333,3.5208671689158964
zero_ret_pct,6,value-weighted,holdout,102,0.15795528386354893,3.0698847995777516
zero_ret_pct,6,3-day avg prices,train,102,0.254794068626276,4.920257323835152
zero_ret_pct,6,3-day avg prices,holdout,102,0.25485263456917023,6.1775286274954295
zero_ret_pct,6,price >= $0.10,train,102,0.1747235406693651,4.283642965734987
zero_ret_pct,6,price >= $0.10,holdout,102,0.1663368991985122,5.8069738333445375
zero_ret_pct,6,"tight winsor [-0.9,2.0]",train,102,0.21305867132870576,6.423195801010396
zero_ret_pct,6,"tight winsor [-0.9,2.0]",holdout,102,0.21055622606896374,7.819208734783136
zero_ret_pct,6,median + price>=$0.10,train,102,0.11736425587839813,4.236616594073337
zero_ret_pct,6,median + price>=$0.10,holdout,102,0.11657204398206636,5.567014741109296
zero_ret_pct,12,"primary (mean, EW, pt-to-pt)",train,96,0.43206878671799787,4.432066532595731
zero_ret_pct,12,"primary (mean, EW, pt-to-pt)",holdout,96,0.5334959165541127,4.39518222968517
zero_ret_pct,12,median within quintile,train,96,0.29154414918865906,4.453871285786484
zero_ret_pct,12,median within quintile,holdout,96,0.33769622423262674,4.823117943884191
zero_ret_pct,12,value-weighted,train,96,0.2574168172498795,4.968788952195357
zero_ret_pct,12,value-weighted,holdout,96,0.35651385777485306,2.5596325537210705
zero_ret_pct,12,3-day avg prices,train,96,0.418052683595389,4.473862508600961
zero_ret_pct,12,3-day avg prices,holdout,96,0.5149566498415461,4.455000405111769
zero_ret_pct,12,price >= $0.10,train,96,0.27256390478489856,4.328956902929962
zero_ret_pct,12,price >= $0.10,holdout,96,0.31346712257505205,4.821609964124969
zero_ret_pct,12,"tight winsor [-0.9,2.0]",train,96,0.31047192125311557,6.297477602515685
zero_ret_pct,12,"tight winsor [-0.9,2.0]",holdout,96,0.3446647332912708,6.919565441348872
zero_ret_pct,12,median + price>=$0.10,train,96,0.18361898352347014,3.849836700487596
zero_ret_pct,12,median + price>=$0.10,holdout,96,0.23654880216016233,4.174666633931583
zero_ret_pct,24,"primary (mean, EW, pt-to-pt)",train,84,0.554955220065363,4.630187415062066
zero_ret_pct,24,"primary (mean, EW, pt-to-pt)",holdout,84,0.7617804084760293,4.763982372794272
zero_ret_pct,24,median within quintile,train,84,0.36197540432833797,4.436982077730501
zero_ret_pct,24,median within quintile,holdout,84,0.40653412412388806,6.573134337088297
zero_ret_pct,24,value-weighted,train,84,0.3221403129740619,4.880378111307385
zero_ret_pct,24,value-weighted,holdout,84,0.5058515488137615,1.947331188541195
zero_ret_pct,24,3-day avg prices,train,84,0.5438956936990864,4.593855375038409
zero_ret_pct,24,3-day avg prices,holdout,84,0.7421365472500948,4.822791149209052
zero_ret_pct,24,price >= $0.10,train,84,0.31671885892568175,3.373655929060931
zero_ret_pct,24,price >= $0.10,holdout,84,0.3204046685874882,5.248374187018317
zero_ret_pct,24,"tight winsor [-0.9,2.0]",train,84,0.3666531655460359,5.646422444400449
zero_ret_pct,24,"tight winsor [-0.9,2.0]",holdout,84,0.4234224770077003,7.507866470273075
zero_ret_pct,24,median + price>=$0.10,train,84,0.20763054645066997,3.45978683971483
zero_ret_pct,24,median + price>=$0.10,holdout,84,0.2370925460231898,7.695076476619454
cs_spread,6,"primary (mean, EW, pt-to-pt)",train,102,-0.06396933421348872,-2.530465560774169
cs_spread,6,"primary (mean, EW, pt-to-pt)",holdout,102,-0.030558506919476102,-0.5768444004694945
cs_spread,6,median within quintile,train,102,-0.07754212094065631,-3.2915599512249307
cs_spread,6,median within quintile,holdout,102,-0.10313261303336821,-3.4387369553812706
cs_spread,6,value-weighted,train,102,-0.10959096315178765,-3.71638177031211
cs_spread,6,value-weighted,holdout,102,-0.14846102385880205,-2.4436218839817165
cs_spread,6,3-day avg prices,train,102,-0.06548644630676745,-2.697842182929673
cs_spread,6,3-day avg prices,holdout,102,-0.026394907166364646,-0.5001846521349425
cs_spread,6,price >= $0.10,train,102,-0.07473805379614688,-2.927748188605942
cs_spread,6,price >= $0.10,holdout,102,-0.0369897637915029,-0.9444734265510412
cs_spread,6,"tight winsor [-0.9,2.0]",train,102,-0.0630498973351222,-3.1605979594390217
cs_spread,6,"tight winsor [-0.9,2.0]",holdout,102,-0.05492258713464762,-1.6310823619461348
cs_spread,6,median + price>=$0.10,train,102,-0.10128608961200514,-4.748018838757
cs_spread,6,median + price>=$0.10,holdout,102,-0.12359250801930702,-4.5831966075209545
cs_spread,12,"primary (mean, EW, pt-to-pt)",train,96,-0.14921181961943417,-2.0888799348179146
cs_spread,12,"primary (mean, EW, pt-to-pt)",holdout,96,0.007822698400747428,0.07362120216636596
cs_spread,12,median within quintile,train,96,-0.13493037002329372,-2.8150017431228838
cs_spread,12,median within quintile,holdout,96,-0.11767052049972984,-1.8341621585662846
cs_spread,12,value-weighted,train,96,-0.21964131892443212,-4.731686373226347
cs_spread,12,value-weighted,holdout,96,-0.12212327286686228,-1.0402219969192528
cs_spread,12,3-day avg prices,train,96,-0.14528264181207232,-2.0588399313906707
cs_spread,12,3-day avg prices,holdout,96,0.009796437852986397,0.09137154020337707
cs_spread,12,price >= $0.10,train,96,-0.13412422080236297,-2.5302080826394886
cs_spread,12,price >= $0.10,holdout,96,-0.02773950378458061,-0.34468593142651843
cs_spread,12,"tight winsor [-0.9,2.0]",train,96,-0.10956136213977519,-2.7041914534059006
cs_spread,12,"tight winsor [-0.9,2.0]",holdout,96,-0.06896992701574123,-1.3405274991199323
cs_spread,12,median + price>=$0.10,train,96,-0.16115797152877234,-3.5302849782065704
cs_spread,12,median + price>=$0.10,holdout,96,-0.14850796877103473,-2.7647505926168687
cs_spread,24,"primary (mean, EW, pt-to-pt)",train,84,-0.17447049402355802,-1.6657592395783685
