measure,horizon_m,split,n_dates,mean_Q5_minus_Q1,nw_t,nw_lags
illiq,6,train,102,0.3444759603557916,6.8615604480986345,6
illiq,6,holdout,102,0.31715813928622366,9.192577842057272,6
illiq,12,train,96,0.6533075701971195,4.93728131906481,12
illiq,12,holdout,96,0.6507680148738353,5.942745766732992,12
illiq,24,train,84,0.9570852166110773,5.434053547850649,24
illiq,24,holdout,84,1.0550327321009176,5.831987386575561,24
zero_ret_pct,6,train,102,0.2652443607254574,4.955365712268121,6
zero_ret_pct,6,holdout,102,0.2609763809974044,6.249890303077468,6
zero_ret_pct,12,train,96,0.43206878671799787,4.432066532595731,12
zero_ret_pct,12,holdout,96,0.5334959165541127,4.39518222968517,12
zero_ret_pct,24,train,84,0.554955220065363,4.630187415062066,24
zero_ret_pct,24,holdout,84,0.7617804084760293,4.763982372794271,24
cs_spread,6,train,102,-0.06396933421348872,-2.5304655607741684,6
cs_spread,6,holdout,102,-0.030558506919476106,-0.5768444004694946,6
cs_spread,12,train,96,-0.14921181961943414,-2.088879934817914,12
cs_spread,12,holdout,96,0.007822698400747435,0.07362120216636603,12
cs_spread,24,train,84,-0.17447049402355802,-1.6657592395783685,24
cs_spread,24,holdout,84,0.051477065850067096,0.3429246383552509,24
